# `#print axioms` manifest — k-Sum Lean gap-closure batch 1, 2026-07-31
# Source: full `lake build` transcript of the same run (build.log), line-unwrapped.
# Standard axioms only: propext, Classical.choice, Quot.sound.
# records: 237   outside the three standard axioms: 0

KsumAudit.Obstructions.Filtration.occ_total : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.annihilates_linear_combination : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.card_valid : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.sum_hotMon : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.pair_hotMon_const : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.descFactorial_mul_pair : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.exists_word : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.rowOrder_wordType : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.ffStr_eq_zero_of_lt : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.factorial_filtration : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.occ_comp_perm : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.SNInvariant_of_occ : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.sum_uniformLift_comp : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.l1_uniformLift : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.annihilates_query_of_occ_moments : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_corr : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_bound : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_band : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_band_combination : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.rho_le_four_fifths : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.two_block_corr_lt_two_thirds : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_two_blocks : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget_equal : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_count_bounded_by_q : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget_q : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_exact : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_ratio : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_normalized : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_q : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_mixture : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_mixture_normalized : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_mixture_q : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.card_coherent : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_coherence_factor : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_counts : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_bound_even : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_bound_odd_sq : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_obstruction_half : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.one_sub_sum_le_prod_one_sub : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_lower_bound : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_gap : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_gt_three_quarters : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.push : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.genPoly : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.coeff_genPoly : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.genPoly_mul : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.push_ne_zero_iff : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.push_conv_ne_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.isValueInvariant_conv : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.isValueInvariant_smul : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.moment_of_isValueInvariant : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.descFactorial_add : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add_three : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add_fin : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.moment_const_mul : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_preserved_by_scaling : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.InNontrivialSatellite : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_of_invariant : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_mem_invariant : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.inNontrivialSatellite_iff_mem_augment : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G2_of_satellite : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.gauge_term : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.gauge_sum : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_univ_comp : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G2 : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_smul_eq : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_eq_zero_of_mem_augment : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.mem_augment_of_reynolds_eq_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_eq_zero_iff_mem_augment : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G2_satellite : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynoldsFn_sum : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynoldsFn_invariant : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G3 : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.psd_eq_zero_of_trace_eq_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.psd_trace_pos_of_ne_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G3_nonzero : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G3_pure_high_degree_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.kappa_annihilates : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_l1 : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_moment : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.slice_annihilation : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_endpoint_swap : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_perm : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.admissible_nonempty : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.mixture_l1_and_annihilation : [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.pair_tensor : [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode : [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_cyc : [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_cyc_pair : [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_snoc_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_snoc : [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_snoc_cyc : [propext, Classical.choice, Quot.sound]
KsumAudit.QueryModel.relabel_inj : [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_encode : [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_encode_odd : [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_twoSum_zero : [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_shift : [propext, Classical.choice, Quot.sound]
KsumAudit.Q_twoSum_shift : [propext, Classical.choice, Quot.sound]
KsumAudit.exists_half_odd : [propext, Quot.sound]
KsumAudit.combine_bound : [propext, Classical.choice, Quot.sound]
KsumAudit.main_odd : [propext, Classical.choice, Quot.sound]
KsumAudit.main_odd_abi : [propext, Classical.choice, Quot.sound]
KsumAudit.exists_repr_set : [propext, Classical.choice, Quot.sound]
KsumAudit.main_general : [propext, Classical.choice, Quot.sound]
KsumAudit.Q_zero_le_target : [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_large : [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_small : [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_small_abi : [propext, Classical.choice, Quot.sound]
KsumAudit.threshold : [propext, Classical.choice, Quot.sound]
KsumAudit.sqrt_mul_rpow_eq : [propext, Classical.choice, Quot.sound]
KsumAudit.ED_isIndexOne : (none)
KsumAudit.oabarrier_ED : [propext, Classical.choice, Quot.sound]
KsumAudit.oabarrier_ED_Q : [propext, Classical.choice, Quot.sound]
KsumAudit.oabarrier_kSum : [propext, Classical.choice, Quot.sound]
KsumAudit.demoModel : [propext, Classical.choice, Quot.sound]
KSUM.B2.DonorClaim : [propext, Classical.choice, Quot.sound]
KSUM.B2.Claim : [propext, Classical.choice, Quot.sound]
KSUM.B2.composition : [propext, Classical.choice, Quot.sound]
KSUM.B2.composition_with_donor : [propext, Classical.choice, Quot.sound]
KSUM.B2.demoDonor : [propext, Classical.choice, Quot.sound]
KSUM.B1.Claim : [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1_inputs : [propext, Classical.choice, Quot.sound]
KSUM.B1.holds : [propext, Classical.choice, Quot.sound]
KSUM.B1.composition_via_A1 : [propext, Classical.choice, Quot.sound]
KSUM.Support.frozen : (none)
KSUM.Support.append_nil : [propext, Quot.sound]
KSUM.Support.frozen_eq_append : [propext, Quot.sound]
KSUM.Support.Q_frozen_le : [propext, Classical.choice, Quot.sound]
KSUM.Support.blockPos : [propext, Quot.sound]
KSUM.Support.Coll : [propext, Quot.sound]
KSUM.Support.EmbedData.q_pos : [propext]
KSUM.Support.EmbedData.encodeInst : [propext]
KSUM.A1a.Claim : [propext, Classical.choice, Quot.sound]
KSUM.A1a.holds : [propext, Classical.choice, Quot.sound]
KSUM.A1a.holds_base : [propext, Classical.choice, Quot.sound]
