# `#print axioms` manifest - k-Sum Lean audit, gap-closure batch 2 (2026-08-01)
# Source: build.log of the same directory (clean rebuild of KSUM + KsumAudit).
# Records: 283

KsumAudit.Obstructions.PairTensor.kappa_annihilates : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_l1 : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_moment : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.slice_annihilation : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_endpoint_swap : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_perm : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.admissible_nonempty : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.mixture_l1_and_annihilation : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.pair_tensor : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.push : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.genPoly : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.coeff_genPoly : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.genPoly_mul : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.push_ne_zero_iff : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.push_conv_ne_zero : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.isValueInvariant_conv : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.isValueInvariant_smul : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.moment_of_isValueInvariant : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.descFactorial_add : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add_three : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add_fin : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.moment_const_mul : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_preserved_by_scaling : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_exact : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_ratio : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_normalized : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_q : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_mixture : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_mixture_normalized : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_mixture_q : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.one_sub_sum_le_prod_one_sub : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_lower_bound : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_gap : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_gt_three_quarters : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tnode_injective : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_annihilates_low_degree : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.Cfac_le : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.sum_Afac_le : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.lam_ratio : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_eq : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_ge : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_rho_le_four_fifths : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.abs_lam_one_ge : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.abs_lam_two_ge : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.lam_two_values : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.Znorm_two : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_two : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.occ_total : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.annihilates_linear_combination : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.card_valid : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.sum_hotMon : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.pair_hotMon_const : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.descFactorial_mul_pair : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.exists_word : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.rowOrder_wordType : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.ffStr_eq_zero_of_lt : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.factorial_filtration : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.occ_comp_perm : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.SNInvariant_of_occ : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.sum_uniformLift_comp : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.l1_uniformLift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.annihilates_query_of_occ_moments : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.occ_append : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.sum_prod_uniformLift : depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Filtration.l1_prod_uniformLift : depends on axioms: [propext, Classical.choice, Quot.sound]
