# print_axioms.txt - machine-checked citation manifest
# extracted from build.log of the same directory (lake build, exit 0, 2026-07-30)
# permitted set: propext, Classical.choice, Quot.sound  -- nothing else appears

KsumAudit.twoSum_encode: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_cyc: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_cyc_pair: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_snoc_zero: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_snoc: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_encode_snoc_cyc: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.QueryModel.relabel_inj: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_encode: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_encode_odd: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_claw_le_twoSum_zero: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.twoSum_shift: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_twoSum_shift: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.exists_half_odd: depends on axioms: [propext, Quot.sound]
KsumAudit.combine_bound: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.main_odd: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.main_odd_abi: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.exists_repr_set: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.main_general: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Q_zero_le_target: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_large: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_small: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold_small_abi: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.threshold: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.sqrt_mul_rpow_eq: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.ED_isIndexOne: does not depend on any axioms
KsumAudit.oabarrier_ED: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.oabarrier_ED_Q: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.oabarrier_kSum: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.demoModel: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.kappa_annihilates: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_l1: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_moment: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.slice_annihilation: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_endpoint_swap: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.prodKappa_perm: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.admissible_nonempty: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.mixture_l1_and_annihilation: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.PairTensor.pair_tensor: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_exact: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_ratio: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_normalized: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_q: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Product.product_obstruction_mixture: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_corr: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_bound: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_obstruction_band: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.rho_le_four_fifths: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.two_block_corr_lt_two_thirds: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.value_budget_equal: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Block.block_count_bounded_by_q: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.card_coherent: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_coherence_factor: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_counts: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_bound_even: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_bound_odd_sq: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Orientation.orientation_obstruction_half: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.gauge_term: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.gauge_sum: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynolds_univ_comp: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G2: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynoldsFn_sum: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.reynoldsFn_invariant: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.Transfer.transfer_G3: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.descFactorial_add: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_add_three: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.moment_const_mul: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.BandMult.band_preserved_by_scaling: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.one_sub_sum_le_prod_one_sub: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_lower_bound: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_gap: depends on axioms: [propext, Classical.choice, Quot.sound]
KsumAudit.Obstructions.TiltedBand.tilt_corr_gt_three_quarters: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.frozen: does not depend on any axioms
KSUM.Support.append_nil: depends on axioms: [propext, Quot.sound]
KSUM.Support.frozen_eq_append: depends on axioms: [propext, Quot.sound]
KSUM.Support.Q_frozen_le: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.Support.blockPos: depends on axioms: [propext, Quot.sound]
KSUM.Support.Coll: depends on axioms: [propext, Quot.sound]
KSUM.Support.EmbedData.q_pos: depends on axioms: [propext]
KSUM.Support.EmbedData.encodeInst: depends on axioms: [propext]
KSUM.A1a.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1a.frozen_form: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1b.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1b.holds: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.kSum_translate: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1c.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1d.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A1.composition: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2a.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2b.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.coprime_k_succ_of_dvd: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.coprime_k_MvSucc: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.coprime_k_q: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.nsmul_surjective: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.A2.composition: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.DonorClaim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.composition: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B2.composition_with_donor: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4a.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.B4bClaim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.Claim: depends on axioms: [propext, Classical.choice, Quot.sound]
KSUM.B4.composition: depends on axioms: [propext, Classical.choice, Quot.sound]
